pair_id,judgment_hash,chunk_index,target_tokens,target_preview,reason
IN-Abs:5807:reference,772d644dacace7cd5479c212670a0a8422568065e4967ba7640159bf6d3a5164,1,13,The appellate authority the Central Government dismissed the appellant 's appeal.,target_too_short_in_tokens
IN-Abs:5844:reference,8f7b8b9f414dbd274892b68dc18f190b9d0d67d0b62e65b0c4a5a9c72319fdd3,4,14,It also held that the cancellation order violated the principle of natural justice.,target_too_short_in_tokens
IN-Abs:5883:reference,be32820fc041b1be21c68b026624c276aae15e83013e76da9ad71e2d97148159,2,7,Gupta vs N.K.,target_too_short_in_tokens
IN-Abs:589:reference,e5d7b4502021979bd9637c7c6fe6e7487f7afd8e2cd4d7341cd08d0a9900e898,0,13,"1931 Patna 15O), approved.",target_too_short_in_tokens
IN-Abs:601:reference,40206db33607640ec15664c356ae8eb802e6124a41a2544deae2e005f863e910,8,12,"Row, [1952] S.C.R.",target_too_short_in_tokens
IN-Abs:6113:reference,de968aa80405a2868e977f3b339656197a2afbc161cfb1a2dfe08fdd86cc60e8,7,17,[506G H; 507A B] Mathura.,target_too_short_in_tokens
IN-Abs:6135:reference,43ca5f67b1f90ce04c491bce90418a95eaf381e25271b51d05f0f04523506364,1,9,State Financial Corporation as security for a loan.,target_too_short_in_tokens
IN-Abs:6206:reference,e53e310c82503212ae3107b8f082b1a8e20687f56c04a9e5991556f1d23ea8cc,2,11,"Surinder Kumar & Ors., , referred to.",target_too_short_in_tokens
IN-Abs:6209:reference,8bb43858a682b2b83a1ed9b0fe453b85f6546990eef2fdd633a576cdd63fd89b,1,7,321; V.C.,target_too_short_in_tokens
IN-Abs:6416:reference,c4ff97ebb553af8e41ed5f8a965dece93a29b6eb899b8114026e23a722c51b60,5,11,The claim 's of the other appellant was rejected.,target_too_short_in_tokens
IN-Abs:6416:reference,c4ff97ebb553af8e41ed5f8a965dece93a29b6eb899b8114026e23a722c51b60,6,8,Hence the appellants i.e.,target_too_short_in_tokens
IN-Abs:646:reference,8ee08ff2a59640a4ac9dd29727659180fd8567f940bf18907829ab063d11d706,1,14,Mens rea was not a necessary ingredient of the corrupt practice.,target_too_short_in_tokens
IN-Abs:6494:reference,9b891a02fdcd0a9bd11d993d5164b07dea479f41ab66eae991527295bbc11c3f,1,19,[381F G] (4). [381E] D.S.,target_too_short_in_tokens
IN-Abs:6526:reference,f1e78da21a65b3116d3f0f390976989012de825f2a60672ba2ec23bb1b9c242b,8,10,"3 SCR 302, referred to.",target_too_short_in_tokens
IN-Abs:659:reference,0a7f9d9dec26f782d7c3b74f2c071d46dc3fbb492829c3bea553022d7f6ff7bc,2,15,"133; and Morley vs Tattersall, , distinguished.",target_too_short_in_tokens
IN-Abs:6593:reference,64a70eab335ae799994efc38030b44e6597d2fc245151c9c2eccbc1184c67e35,4,8,The Central Government never approved of it.,target_too_short_in_tokens
IN-Abs:6605:reference,8abfbf949e478d5b7cec877a77b83cf40368a13414f9ef6ec6b87b355db4e29d,3,7,1 SCR 1; L.,target_too_short_in_tokens
IN-Abs:6629:reference,2a189554e318606dda6bc20d5f5cefe00e96939316b9b38908d0774274f6d063,1,14,"Dismissing the Appeal, this Court, HELD: 1.",target_too_short_in_tokens
IN-Abs:6677:reference,9cdeb250678ead3da940c73d4221d4760c8a57b83dc40b30756de9c6c3bab4a4,4,9,Ltd. vs James Chadwick & Bros.,target_too_short_in_tokens
IN-Abs:669:reference,82d0319b08ea06d081e945c31dee0d6511aff6a35ab6dd419270958922e9c93a,13,4,Case law considered.,target_too_short_in_tokens
IN-Abs:67:reference,5266dd65ae08ae601c3ca6019d1e3c306f4f1cf75d30c822de9115999b973393,11,17,(ii) Abdication by a legislative body need not necessarily amount to complete effacement.,target_too_short_in_tokens
IN-Abs:67:reference,5266dd65ae08ae601c3ca6019d1e3c306f4f1cf75d30c822de9115999b973393,13,13,"For the first, no express provision authorising delegation is required.",target_too_short_in_tokens
IN-Abs:6707:reference,8b24c6ac47d1c30ae1cd8def591069ccc8fbb67b565c283a1e0d8d46e03794db,15,9,"Linkletter, 14 L Ed.",target_too_short_in_tokens
IN-Abs:6722:reference,56c83c5b41e01b698447f89f7865d12e3baaaef3369efd0aa6589c475984a9e8,2,16,"1 to 5 in the Service, making the former Senior to the letter.",target_too_short_in_tokens
IN-Abs:674:reference,df1aed0aaf6fde3ac4c26a9fbacbe56d0228672981c9cb2cf8c3c16b0497f187,0,4,Per Imam J.,target_too_short_in_tokens
IN-Abs:674:reference,df1aed0aaf6fde3ac4c26a9fbacbe56d0228672981c9cb2cf8c3c16b0497f187,1,9,The question of addition of parties under O.,target_too_short_in_tokens
IN-Abs:678:reference,053eef88cae6ec4d0ff5d3451b42198ac2c619dffcd8d114e7cc8379ceaed240,0,12,636 explained as having proceeded on concession by counsel.,target_too_short_in_tokens
IN-Abs:678:reference,053eef88cae6ec4d0ff5d3451b42198ac2c619dffcd8d114e7cc8379ceaed240,6,9,"Wasan vs Walter, , relied on.",target_too_short_in_tokens
IN-Abs:69:reference,a3f49c9164646496f94ab27c8bb014b0a32af148cc994a6db8ccf021f369d468,0,10,Daulatrao vs Government of Bombay approved.,target_too_short_in_tokens
IN-Abs:7036:reference,24a6cf00367d7b15f996839eca103577d0cc50ae9dd411e2cf9b3a6f3b5d61db,1,17,"Dismissing the appeal, this Court, HELD : 1.01.",target_too_short_in_tokens
IN-Abs:726:reference,ab6a4a26f94be1c2c53952d3ec66437647f404fcae7d372cf37d778ae922c76a,1,18,"Held that, the appellant was rightly convicted. 155, dis approved.",target_too_short_in_tokens
IN-Abs:795:reference,86b6bab2436afa9d8a609b88f6214daa809bd38b13e206c60efc256d306e0078,4,18,Nor is the temporary movement of the idol from place to place inconsistent with its public character.,target_too_short_in_tokens
IN-Abs:814:reference,0ba42282b622a3cc77378cc5fb2f5506e7eb8ef3a59ac614c705934071f618b3,2,17,The evidence showed that the price paid for the properties under the deed was wholly inadequate.,target_too_short_in_tokens
IN-Abs:83:reference,1aa946e968312648cb2f26bd967016df312b049d8f807ad4f2e79e3592b93265,1,7,147) relied upon.,target_too_short_in_tokens
IN-Abs:843:reference,25c198f010229c180ee89909d8e60f1405427bc7945f7e693ca206ef79ed1177,2,7,"149, relied on.",target_too_short_in_tokens
IN-Abs:843:reference,25c198f010229c180ee89909d8e60f1405427bc7945f7e693ca206ef79ed1177,3,8,"Per Hidayatullah, J.",target_too_short_in_tokens
IN-Abs:855:reference,257df389d64f5d0575c2c7c579ee2289e7eb520a69ec06afd7b613348839a34c,0,20,"388, The King vs Horry, [1952] N.Z.L.",target_too_few_words
IN-Abs:855:reference,257df389d64f5d0575c2c7c579ee2289e7eb520a69ec06afd7b613348839a34c,5,9,"461 Per Sarkar, J.",target_too_short_in_tokens
IN-Abs:855:reference,257df389d64f5d0575c2c7c579ee2289e7eb520a69ec06afd7b613348839a34c,9,21,"111, Mary Ann Nash 's case, (1911) 6 Cr.",target_too_few_words
IN-Abs:870:reference,86723fda42ccc291141445535884c2fac5e68c5460a33c3d85b6e4c3dd4510bc,3,19,"Ltd. vs Their Workmen, [1960] 2 S.C.R.",target_too_short_in_tokens
IN-Abs:909:reference,6f56e974359407c82a1aba6ffe0968b8fa8dd8f809adc607a4f3f649e1353996,1,19,"Assam Bengal Cement Works Ltd. vs Commissioner of Income Tax, West Bengal, , distinguished.",target_too_short_in_tokens
IN-Abs:935:reference,a0ae81bbbd1f907e89880a0276b727597cf282470b84cd65f544d512e5b7035a,4,7,The Tata Iron & Steel Co.,target_too_short_in_tokens
IN-Abs:949:reference,f2496f3b822b86c874eec1617c2e795c48739e6c8021a94a3ddc85ade8dcb355,4,18,(dissenting) The language of article 161 is of the widest amplitude.,target_too_short_in_tokens
IN-Abs:969:reference,594bac0a5857a1f9b523f62148601cf8c3b24fb76d47ec1173ce16098bcccac8,2,11,The Full Bench of the High Court held against him.,target_too_short_in_tokens
IN-Abs:1155:reference,797e5a2fc15befc9b3c74c32e0b3471025870f0610c2ba21f46d5cf4c3a37f21,1,19,"Nesbitt Ltd. vs Mitchell, [1926] II T.C.",target_too_short_in_tokens
IN-Abs:1162:reference,cdfa054021b3b67e4941e517c603b71cde8b46de8087a5bcd79a20756e3998cf,2,19,"Ltd. and Others, and Commissioners of Inland Revenue vs Sansom, , referred to.",target_too_short_in_tokens
IN-Abs:1172:reference,04a3dc00a7a752caac5a10325d11088eb9deb06999f9bdfd35f037c93bbb4ed4,1,4,Case law reviewed.,target_too_short_in_tokens
IN-Abs:1336:reference,c0ae37c2b15b37059e10d37d65e90858ca52358360798f7ba7060ec44a4dcc86,0,12,The appellant sued the respondent for damages for breach of contract.,target_too_short_in_tokens
IN-Abs:1460:reference,5d5934bc5e2aceed87ce5e8454f1f9c5b91ae6d6d20c8f5f9628930dc435417d,2,11,"352, considered and held inapplicable.",target_too_short_in_tokens
IN-Abs:1515:reference,d24182f8861ea3d9e9c0ef53a2a550d74f57f4b884b8c96b92d1a545c0a579f7,2,19,The respondents preferred appeals before the Commissioner. The respondents preferred second appeals before the Board of Revenue.,target_too_short_in_tokens
IN-Abs:2719:reference,7664991d4d47219531aeda48e8923a79cad73b9490f19fb8d9999d298afebab0,3,7,773; referred to.,target_too_short_in_tokens
IN-Abs:3018:reference,2606a7e21430354aed0e7869c02555a3f322e41d1f1da4452bc520f8824fb803,2,9,10(3) did not arise.,target_too_short_in_tokens
IN-Abs:3139:reference,a0eff47dd490e0af83cbbc5a5b8752897d95cf5e2d11c17beb5feb613023325f,0,17,"They were actually runni ng in panic on seeing the mob, to save themselves.",target_too_short_in_tokens
IN-Abs:3243:reference,ed756d0978e4a5aa7793df1ad289096fe48bc082a4ce974c24eeb47b110c2954,2,12,The High Court allowed the petition and set aside the election.,target_too_short_in_tokens
IN-Abs:34:reference,5d8802794983f378c1aae27886e4fe0487ee9cdbc772c15625c9992a231005f2,17,11,(FAZL ALI J. dissenting).,target_too_short_in_tokens
IN-Abs:34:reference,5d8802794983f378c1aae27886e4fe0487ee9cdbc772c15625c9992a231005f2,22,6,MAHAJAN J.,target_too_short_in_tokens
IN-Abs:34:reference,5d8802794983f378c1aae27886e4fe0487ee9cdbc772c15625c9992a231005f2,26,19,MUKHERJEA J. Per KANIA. MUKHERJEA J.,target_too_short_in_tokens
IN-Abs:34:reference,5d8802794983f378c1aae27886e4fe0487ee9cdbc772c15625c9992a231005f2,38,11,It is not necessary that the Parliament should prescribe both.,target_too_short_in_tokens
IN-Abs:3934:reference,2563d4f5aeb5b569d46c9235d4c338fb3259bbb316874ddd5140741bf1a289ed,0,3,P.C.,target_too_short_in_tokens
IN-Abs:421:reference,d0b00e8fbe548b3820f4011f16d70ddf8796f68105738e31db391080c662ab4f,1,14,"Subramanya Pillai ([1950] , approved.",target_too_short_in_tokens
IN-Abs:4684:reference,15045d861034c64ba79877455697bd232e648a3382c0180541b1ac5c85cf6127,0,6,S.C.R. p.,target_too_short_in_tokens
IN-Abs:4740:reference,6b57b414726dd2ee8d63aff4a17d4f78c0fa60e279285d449ebcc7e9f9094b47,10,17,"[131 C H, 132 A] 20.",target_too_short_in_tokens
IN-Abs:553:reference,1fb3abb5969fb8352b5d58ffd3d7de585c9a30b92770cb4149e72640ba393cc7,1,8,Secretary of State for India vs I.,target_too_short_in_tokens
IN-Abs:5567:reference,edf470d9dec998b32de1aa10d2f0a2c3f97cd1f67514bffcd1c35c417f473f00,3,12,"Dismissing the appeal, ^ HELD: 1.",target_too_short_in_tokens
IN-Abs:633:reference,e074a5b2ee24b76542af17bafd2073a08981e05640d0b5e8d508ac688d84550b,1,11,The police submitted a charge sheet against the three accused.,target_too_short_in_tokens
IN-Abs:6394:reference,a3dfc95121c8c31ba8116a80959ff921512c681090efe74dc1da54d137abd169,2,17,These powers are more or less similar to the powers conferred on Customs Officers under the .,target_too_short_in_tokens
IN-Abs:704:reference,35bc090f284fc5eadd8eda0e1a24ea2c08e010bc3e4b130fa868af7bd98eaa3c,4,10,It is impossible to ignore the provision Of Col.,target_too_short_in_tokens
IN-Abs:972:reference,76d892c632fd0a2e10173a18ef8d1f0fb04324c2cd6d4346c6a161d4deff3488,1,18,"The Sessions Court, on appeal by the respondent, confirmed the Magistrate 's order.",target_too_short_in_tokens
